Bubble,Age,Score,Race,LogBubble
0,59,-1,Asian,#NUM!
3,59,-1,Black,0.477121255
0,59,-1,Multiple,#NUM!
0,59,-1,Native American,#NUM!
19,59,-1,White,1.278753601
2,60,-1,Asian,0.301029996
4,60,-1,Black,0.602059991
0,60,-1,Multiple,#NUM!
1,60,-1,Native American,0
22,60,-1,White,1.342422681
1,61,-1,Asian,0
3,61,-1,Black,0.477121255
0,61,-1,Multiple,#NUM!
0,61,-1,Native American,#NUM!
12,61,-1,White,1.079181246
2,62,-1,Asian,0.301029996
4,62,-1,Black,0.602059991
0,62,-1,Multiple,#NUM!
0,62,-1,Native American,#NUM!
22,62,-1,White,1.342422681
0,63,-1,Asian,#NUM!
3,63,-1,Black,0.477121255
0,63,-1,Multiple,#NUM!
0,63,-1,Native American,#NUM!
27,63,-1,White,1.431363764
1,64,-1,Asian,0
5,64,-1,Black,0.698970004
0,64,-1,Multiple,#NUM!
0,64,-1,Native American,#NUM!
14,64,-1,White,1.146128036
0,65,-1,Asian,#NUM!
5,65,-1,Black,0.698970004
0,65,-1,Multiple,#NUM!
0,65,-1,Native American,#NUM!
17,65,-1,White,1.230448921
1,66,-1,Asian,0
2,66,-1,Black,0.301029996
0,66,-1,Multiple,#NUM!
1,66,-1,Native American,0
8,66,-1,White,0.903089987
1,67,-1,Asian,0
1,67,-1,Black,0
0,67,-1,Multiple,#NUM!
0,67,-1,Native American,#NUM!
17,67,-1,White,1.230448921
1,68,-1,Asian,0
3,68,-1,Black,0.477121255
0,68,-1,Multiple,#NUM!
0,68,-1,Native American,#NUM!
15,68,-1,White,1.176091259
1,69,-1,Asian,0
3,69,-1,Black,0.477121255
0,69,-1,Multiple,#NUM!
0,69,-1,Native American,#NUM!
12,69,-1,White,1.079181246
3,70,-1,Asian,0.477121255
4,70,-1,Black,0.602059991
0,70,-1,Multiple,#NUM!
0,70,-1,Native American,#NUM!
7,70,-1,White,0.84509804
0,71,-1,Asian,#NUM!
1,71,-1,Black,0
0,71,-1,Multiple,#NUM!
0,71,-1,Native American,#NUM!
9,71,-1,White,0.954242509
1,72,-1,Asian,0
1,72,-1,Black,0
0,72,-1,Multiple,#NUM!
0,72,-1,Native American,#NUM!
8,72,-1,White,0.903089987
0,73,-1,Asian,#NUM!
2,73,-1,Black,0.301029996
1,73,-1,Multiple,0
0,73,-1,Native American,#NUM!
8,73,-1,White,0.903089987
3,74,-1,Asian,0.477121255
1,74,-1,Black,0
0,74,-1,Multiple,#NUM!
0,74,-1,Native American,#NUM!
8,74,-1,White,0.903089987
4,75,-1,Asian,0.602059991
1,75,-1,Black,0
0,75,-1,Multiple,#NUM!
0,75,-1,Native American,#NUM!
11,75,-1,White,1.041392685
2,76,-1,Asian,0.301029996
1,76,-1,Black,0
0,76,-1,Multiple,#NUM!
0,76,-1,Native American,#NUM!
3,76,-1,White,0.477121255
0,77,-1,Asian,#NUM!
0,77,-1,Black,#NUM!
0,77,-1,Multiple,#NUM!
0,77,-1,Native American,#NUM!
6,77,-1,White,0.77815125
0,78,-1,Asian,#NUM!
0,78,-1,Black,#NUM!
0,78,-1,Multiple,#NUM!
0,78,-1,Native American,#NUM!
9,78,-1,White,0.954242509
0,79,-1,Asian,#NUM!
1,79,-1,Black,0
1,79,-1,Multiple,0
0,79,-1,Native American,#NUM!
6,79,-1,White,0.77815125
1,80,-1,Asian,0
0,80,-1,Black,#NUM!
0,80,-1,Multiple,#NUM!
0,80,-1,Native American,#NUM!
12,80,-1,White,1.079181246
2,81,-1,Asian,0.301029996
5,81,-1,Black,0.698970004
0,81,-1,Multiple,#NUM!
0,81,-1,Native American,#NUM!
12,81,-1,White,1.079181246
0,82,-1,Asian,#NUM!
0,82,-1,Black,#NUM!
0,82,-1,Multiple,#NUM!
0,82,-1,Native American,#NUM!
7,82,-1,White,0.84509804
0,83,-1,Asian,#NUM!
0,83,-1,Black,#NUM!
0,83,-1,Multiple,#NUM!
0,83,-1,Native American,#NUM!
6,83,-1,White,0.77815125
0,84,-1,Asian,#NUM!
2,84,-1,Black,0.301029996
0,84,-1,Multiple,#NUM!
0,84,-1,Native American,#NUM!
6,84,-1,White,0.77815125
3,85,-1,Asian,0.477121255
9,85,-1,Black,0.954242509
1,85,-1,Multiple,0
0,85,-1,Native American,#NUM!
53,85,-1,White,1.72427587
